source	target	mor
Gtf2i	Ucn	1
Nfatc2	Il21	1
Tbx21	Il21	1
Nfe2l2	Tfb1m	1
Nfe2l2	Tfb2m	1
Usf2	Apoa5	1
Kcnh4	Ccnd1	-1
Kcnh8	Ccnd1	-1
Kcnh4	Dhfr	-1
Kcnh8	Dhfr	-1
Kcnh4	Fos	-1
Kcnh8	Fos	-1
Fosl1	Cdkn2a	1
Foxo1	Bmp4	1
Pax3	Bmp4	1
Foxo1	Cnr1	-1
Foxo1	Epha2	1
Foxo1	Epha4	1
Pax3	Cnr1	1
Pax3	Epha2	1
Pax3	Epha4	1
Sp1	Il6	1
Dnmt1	Cish	1
Dnmt1	Prm3	1
Sp1	Timp2	1
Usf2	Slc16a1	-1
Esr1	Macrod1	1
Sp1	Macrod1	1
Hnf4a	Slc22a7	1
Hnf4a	Nr1h4	1
Nr1h4	Hnf4a	-1
Nr0b2	Slc22a7	-1
Nr1h4	Slc22a7	1
Cebpd	Mapk14	1
Tbx3	Tbx3	-1
Smad1	Pomc	1
Hif1a	Igf1	1
Ets1	Bmp4	1
Nkx2-2	Mbp	1
Ncoa2	Grip1	1
Ncoa2	Tnfrsf1a	1
Jun	Il10	1
Junb	Il10	1
Thra	Cd44	1
Nr4a1	Rb1	1
Stat5a	Ntrk1	1
Ybx1	Mmp12	1
Olig1	Mbp	1
Olig1	Plp1	1
Yy1	Bdkrb1	1
Nkx3-1	Casp3	1
Nkx3-1	Casp9	1
Hif1a	Tpo	1
Tp63	Hspa4	1
Mef2c	Kdr	1
Pdx1	Ripk1	1
Pdx1	Tkt	1
Sp1	Tat	1
Smad7	Fshb	1
Sp1	Ccnb1	-1
Hmga1	Ifng	1
Bcl6	Stat5a	1
Stat5a	Bcl6	-1
Esr1	Opn1mw	1
Sp7	Tat	1
Tp63	Igfbp3	1
Tp73	Igfbp3	1
E2f1	Cdkn1b	1
Foxd1	Serpine1	1
Smad6	Serpine1	1
Ppara	Gsk3b	1
Ssrp1	Isyna1	1
Srebf1	Ptgs2	1
Gfi1b	Gfi1b	1
Klf2	Mcl1	1
Klf2	Nos3	1
Klf2	Serpine1	-1
Klf2	Thbd	1
Srebf2	Hmgcs2	1
Smad1	Vegfa	1
Smad5	Vegfa	-1
Foxa2	Ibsp	1
Sox17	Ibsp	1
Cebpb	Lrpap1	1
Cebpg	Crebbp	1
Lef1	Lef1	1
Lef1	Pitx2	1
Pitx2	Lef1	1
Barx2	Barx2	1
Stat3	Maf	1
Ahr	Cd2	1
Ar	Cflar	1
Sp1	Hsd17b7	1
Sp1	Skap2	1
Gata3	Il1rl1	1
Pparg	Nr1d1	1
Nr1d1	Pparg	-1
Ctcf	Csnk2a2	1
Snai2	Brca2	-1
Bach1	Nqo1	-1
Tp73	Tert	-1
Tp53	Triap1	1
Dnmt1	Runx1	1
Klf2	Magee1	1
Klf2	Wee1	-1
Sp1	Wee1	1
Litaf	Gadd45a	1
Egr1	Vegfa	1
Jarid2	Myh14	1
Jarid2	Myh6	-1
Mef2a	Myh6	1
Tp73	Ccnb1	-1
Dnmt1	Hal	1
Nfatc2	Lgals4	1
Nfatc2	Mapk8	1
Nfatc2	Nfatc2	1
Mef2c	Sub1	1
Egr1	App	1
Mef2d	Cd44	1
Mef2d	Mef2d	1
Nr4a3	Nr4a3	1
Maf	Il10	1
Tp63	Krt5	1
Tp63	Tert	1
Ybx1	Mvp	1
Egr2	Bglap	1
Cebpg	Ddit4	1
Elk1	Ddit4	1
Cebpa	Ces1d	1
Kat7	Wt1	1
Stat3	Ccl11	1
Rest	Grin2b	-1
Sp1	Kctd13	-1
Sp1	Hbegf	1
Ppara	Lep	-1
Pparg	Lep	1
Runx2	Bmp2	1
Atf2	Ppargc1a	-1
Myc	Cd5	1
Nr5a1	Tmprss11d	1
E2f1	Ccne2	1
Mbd2	Oprd1	1
Mbd2	Mbd2	1
Sp1	Pkd1	1
Znf148	Pkd1	1
Fos	Ptgs2	1
Mnx1	Il6	1
Mnx1	Pik3r1	1
Mnx1	Mnx1	1
Bmal1	Prl	1
Creb1	Grin2b	1
Cdx2	Iapp	1
Ssrp1	Iapp	1
Atf4	Trib3	1
Trib3	Atf4	-1
Ddit3	Trib3	1
Pax3	Parp1	1
Cebpb	Tff1	-1
Cebpb	Cyp3a2	1
Cebpg	Prl	1
Dnmt1	Prl	1
Bmal1	Slc9a3	1
Clock	Slc9a3	1
Sp1	Etv2	1
Hif1a	Mmut	1
Hif1a	Myc	-1
Myc	Hif1a	-1
Hif1a	Sp1	-1
Sp1	Hif1a	1
Myc	Mmut	1
Sp1	Mmut	1
Tp53	Mmut	1
Tbx3	Cdkn2a	-1
Yy1	Dnajb4	1
Fli1	Ptpn13	1
Ewsr1	L1cam	1
Ewsr1	Ptpn13	1
Fli1	L1cam	1
Fli1	Ptpn1	1
Cebpb	Slc5a5	1
Egr1	Apex1	1
Sp1	Gstk1	1
Sp1	Hpgds	1
Tp53	Gstk1	1
Tp53	Hpgds	1
Nfe2l2	Nfe2	1
Nfe2l2	Ahr	1
Ahr	Nfe2l2	1
Nono	Snca	1
Mnx1	Ins2	1
Fos	Spp1	1
Nr1h3	Spp1	1
Ets1	Ren1	1
Hoxd10	Ren1	1
Neurod1	Nnat	1
Elf3	Ptgs2	1
Eno1	Hspa4	1
Eno1	Jun	1
Eno1	Lct	1
Eno1	Pgk1	1
Hif1a	Jun	1
Hif1a	Pgk1	1
Tp63	Perp	1
Runx2	Csn2	1
Mef2a	Jph2	1
Jun	Tnfrsf1b	1
Jun	Rasgrf1	1
Max	Oprk1	1
Mxd1	Oprk1	1
Nr3c1	Fas	1
Sp1	Fgf4	1
Tp73	Bdkrb2	1
Eno1	Ccnd1	1
Eno1	Map2k5	1
E4f1	Rassf1	1
E4f1	Cd44	1
Hif1a	Pik3c3	1
Tbx21	Tbx21	1
Sp1	Cxcl12	1
Cebpb	Id2	1
Elk1	Fzd8	1
Pax4	Fzd8	1
Myod1	Actb	1
Myod1	Myl2	1
Sp1	Akr1c18	1
Egr1	Cxcl12	1
Egr1	Sele	1
Sp1	Slc6a3	1
Hnf4a	Mmp7	1
Ezh2	Dab2ip	-1
Foxm1	Lama4	1
Nr1h4	Icam1	1
Fli1	Ccne1	1
Ewsr1	Ccne1	1
Sp1	Ccne1	1
Dnmt1	Cyp1a1	1
Ahr	Sdhb	1
Esrrg	Esrra	1
Pparg	Esrra	1
Esrrg	Esrrg	1
Ar	Fkbp5	1
Foxo4	Bcl2l11	1
Hoxb2	Hoxb3	1
Hoxb3	Hoxb2	1
Vdr	Abcc3	1
Cdx2	Heph	1
Tcf3	Dld	1
Tcf3	Sult2a1	1
Tcf3	P50235	1
Tcf3	St2a2	1
Nr3c1	Csf2	1
Nr3c1	Il5	1
Runx2	Fgfr2	1
Twist1	Fgfr2	1
Tp53	Pdlim7	1
Jun	Bglap	1
Scx	Shbg	1
Gata6	Cyb5a	1
Nr5a1	Cyb5a	1
Ppara	Fabp3	1
Cebpd	P11517	1
Cebpd	Hbb	1
Cebpg	P11517	1
Cebpg	Hbb	1
Cebpb	P11517	1
Cebpb	Hbb	1
Pou4f2	Hspb1	1
Ar	Erbb2	1
Dlx4	Oga	1
Vdr	Nppa	1
Sp1	Atm	1
Nr2c2	Tnf	1
Srf	Actb	1
Srf	Gsn	1
Smad3	Edn1	1
Ppara	Grhpr	1
Stat5a	Slco1b2	1
Stat5a	Ghr	1
Tbx2	Mycn	-1
Gata4	Mef2c	1
Nkx2-5	Gata4	1
Gata4	Nkx2-5	1
Isl1	Mef2c	1
Isl1	Nkx2-5	1
Crem	Crh	1
Cebpb	Adipoq	1
Sp1	Padi2	1
Ppara	Elovl3	1
Srebf1	Elovl3	1
Nr1h3	Elovl3	1
Nr2f2	Ins2	1
E2f4	Ccnb1	1
Tp53	Serpinf1	1
Tp73	Serpinf1	1
Tp63	Serpinf1	1
Usf2	Avp	1
Usf2	Qrfp	1
Rest	Brinp1	-1
Rest	Ntrk3	-1
Tp53	Prima1	1
Nr0b2	Timp1	-1
Nr1h4	Timp1	-1
Sp1	Cyp2f2	1
Hr	Icam1	1
Cebpg	Avp	1
Dnmt1	Ins2	1
Usf2	Pigr	1
E2f1	Ptgs2	1
Yy1	Erbb2	1
Nfe2l2	Fgf1	1
Nfe2l2	Ngf	1
Jarid2	Rb1	1
Ascl1	Tph1	-1
Hes1	Tph1	1
Stat3	Ptpn13	1
Stat3	Ptpn6	-1
Dnmt1	Ptpn6	1
Spi1	Ptpn6	1
Sp1	Rassf1	1
Smarca1	Myog	1
Tp53	Bub1b	1
Hes1	Cdkn1b	-1
Kat7	Ccnd1	1
Esr1	Gstk1	1
Esr1	Gstp1	1
Esr1	Hpgds	1
Esrra	Sult2a1	1
Esrra	P50235	1
Esrra	St2a2	1
Ssrp1	Nfkbia	1
Tgfb1i1	Vim	1
Nkx3-1	Nkx3-1	1
Jun	Abcc1	1
Srebf1	Irs2	-1
Tbx6	Cd44	1
Xbp1	Dnajb9	1
Pdx1	Mtor	1
Hoxb8	Mylk	-1
LOC100911668	Mylk	1
Sp1	Pthlh	1
Rb1	Sp1	1
Sp1	Rb1	1
Apex1	Hap1	1
Apex1	Gal	1
Dbp	Alb	1
Nfe2l2	Gss	1
Sp1	St3gal5	1
Mef2a	Smyd1	1
Mef2c	Smyd1	1
Bcl6	Cd22	1
Bcl6	Cd79a	1
Bcl6	Mme	1
Bcl6	Ms4a1	1
Bcl6	Spi1	1
Spi1	Bcl6	-1
Creb1	Fktn	1
Srebf1	Hpgd	1
Nfat5	Enpp2	1
Nfatc2	Enpp2	1
Spz1	Pcna	1
Yy1	Hspa5	1
Kat7	Hspa5	1
Hmga1	Cd44	1
Cebpd	Egf	1
Mesp2	Lfng	1
Sp1	Tgfbr1	1
Nr1h4	Sqstm1	1
Sp1	Slc15a1	1
Neurod1	Sst	-1
Neurod1	Gcg	1
Hif1a	Pck1	1
Sp1	Mefv	1
Pparg	Fn1	-1
Creb1	Fn1	1
Egr1	Ltb	1
Klf3	Ltb	1
Pax3	Ltb	1
Sp1	Ltb	1
Phf5a	Myh6	1
Smad1	Myh6	1
Hoxa3	Mmp14	1
Pparg	Pc	1
Srf	Csrp1	1
Tcf21	Ar	1
Hnf4a	Cyp2c11	1
Cebpa	Adipoq	1
Cebpd	Adipoq	1
Zfpm1	Foxn1	1
Zfpm1	Nelfe	1
Cebpb	Arg1	1
Mybl2	Ccnd1	1
Sp1	Ccna1	1
Mybl2	Sar1b	1
Mybl2	Sp1	1
Sp1	Mybl2	1
Elf4	Morf4l1	1
Hnf4a	Apoa4	1
Nr1h2	Ptbp1	1
Nkx2-1	Tshr	1
Pax8	Tshr	-1
Tfap4	Ogg1	1
Arx	Pax4	-1
Pax4	Arx	-1
Mef2a	Avp	1
Mef2a	Ckm	1
Nfatc1	Ckm	1
Hif1a	Vhl	1
Vhl	Hif1a	-1
Skil	Myc	-1
Ahr	Ca3	-1
Hnf4a	Cyp2c7	1
Nr1i2	Cyp2c7	1
Nr3c1	Cyp2c7	1
Esr1	Th	1
Esr2	Th	1
Xbp1	Pth	1
Ppara	Fabp6	1
Ppard	Fabp6	1
Znf354c	Ntrk1	1
Esr1	S1pr1	1
Gtf2i	Kdr	1
Gtf2i	Gtf2i	1
Tlx1	Tlx1	1
Gfi1	Cyp27b1	-1
Esr2	Ccne1	-1
Ets1	Mmp9	1
Tp53	Npm1	1
Tp53	Nr1d1	1
Nr1h2	Kat2a	1
Pitx3	Pitx3	1
Pou2f1	Cdx4	1
Klf10	Ccn2	1
Ppara	Nos2	-1
Mef2a	Grin1	1
Nr4a1	Igf1	1
Mef2c	Fsd1	1
Myod1	Fsd1	1
Cebpb	Cd200	1
Ahr	Ugt1a1	1
Pitx1	Kras	1
Jun	Ptk2	1
Mitf	Serpine1	1
Mitf	Inhba	1
Egr1	Inhba	1
Wt1	Slc5a5	1
Hnf1a	Acat2	1
Creb1	Musk	-1
Myod1	Musk	1
E2f1	Wnt4	1
Myc	Wnt4	1
Yy1	Rb1	1
Tp53	Plk4	-1
Creb1	Plk4	-1
Sp1	Plk4	-1
Tp53	Creb1	1
Creb1	Tp53	1
Ar	Fcer1g	1
Gata1	Fcer1g	1
Hnf4a	Pdk4	1
Pou4f1	Prph2	1
Fli1	Hgf	1
Hopx	Nppa	1
Fos	Rab11a	1
Nr1h4	Pparg	1
Nr1h4	Srebf1	-1
Egr1	Slc9a2	1
Znf354c	Slc9a2	1
Ssrp1	Il6	1
Dmrt1	Dmrt1	1
Sox17	Dmrt1	1
Sox5	Dmrt1	-1
Zbtb7b	Ugdh	1
Foxh1	Mixl1	1
Mixl1	Mixl1	1
Gata4	Col1a2	1
Mitf	Hif1a	1
Jdp2	Src	1
Vdr	Camp	1
Hnf1b	Krt18	1
Cebpa	Nf1	1
Runx1	Nf1	-1
Fosl1	Gclc	-1
Ncoa2	Flii	1
Kat5	Oga	1
Myc	Oga	1
Myc	Tfam	1
Hif1a	Ccnd1	1
Creb1	Il2ra	1
Emx2	Pcna	-1
Tfeb	Cdh1	1
Myc	Stat3	1
Stat3	Myc	1
Fos	Cry1	1
Jun	Cd9	1
Cdx2	Ins2	1
Spi1	Cd1d	1
Spi1	Ugdh	1
Skil	Dcn	1
Skil	Gadd45g	1
Skil	Map3k14	1
Zfpm2	Dcn	1
Zfpm2	Gadd45g	1
Zfpm2	Map3k14	1
Creb1	Adcyap1	1
Jund	Ftmt	1
Ar	Casp2	1
Ezh2	Il6	1
Stat3	Akt1	1
Hif1a	Stat3	1
Stat3	Hif1a	1
Jun	Cyp2j3	1
Fos	Cyp2j3	1
Pparg	Cdkn2b	1
Esr1	Cyp1b1	1
Esr1	Cyp1a1	-1
Jun	Gclm	1
Nfe2l2	Tnf	1
Egr1	Rbp1	1
Spi1	Ctsg	1
Ar	Abcc4	1
Ar	Dhcr24	1
Ar	Gucy1a1	1
Hif1a	Sox9	1
Gata6	Dab2	1
Esrra	Tff1	1
Tp53	Csnk1a1	1
Gata1	Kit	-1
Cebpb	Atf4	1
Atf4	Cebpb	1
Isl1	Gal	1
Nkx2-1	Chrna2	1
Nkx2-1	Chrna7	1
Nr3c1	G6pc1	1
Nr1h4	Vipr1	1
Mafb	Nuak1	1
Ar	Krt8	1
Ar	Nf2	1
Gzf1	LOC100911668	-1
Mef2a	Tnnt2	1
Fos	Pcyt2	1
Tp53	Mapk3	1
Hnf4a	Prkaa2	1
Hnf4a	Apoa5	1
Mbd2	Brca1	1
Sp1	Tnfsf11	-1
Cebpb	Egr2	-1
Egr2	Cebpb	1
Esr1	Socs3	1
Srebf1	Ins2	1
Gtf2i	Ccnd2	1
Gtf2i	Ccnd3	1
Gtf2i	E2f2	1
Smad3	Ccnd2	1
Smad3	Ccnd3	1
Smad3	E2f2	1
Gtf2i	Tgfb1	1
Esr1	Prkn	1
Esr1	Lhb	1
Esr1	Ube2d2	1
Crem	Pth	1
Cebpb	Ptger4	1
Cebpg	Ptger4	1
Ppard	Ptger4	1
Vdr	Cdh1	1
Stat3	Tert	1
Usf2	Kras	1
Pou2f1	Gata2	1
Hnf4a	Dkk4	1
Myod1	Dkk4	1
Pou2f1	Sfrp2	1
Pou2f1	Qsox1	1
Sox9	Qsox1	1
Egr1	Atf3	1
Atf3	Egr1	1
Spi1	Tnfrsf11a	1
Cebpg	Vip	1
Ppara	G0s2	1
Jun	Ibsp	-1
Esr1	Wt1	1
Wt1	Esr1	1
Pitx1	Pitx1	1
Foxa1	Tff1	1
Creb1	Ar	1
Egr3	Gabra4	1
Egr3	Igbp1	1
Esr1	Nr5a2	1
Nr5a2	Esr1	1
Ahrr	Myc	1
Spi1	Pip	1
Nr3c1	Orm1	1
Tp53	Txn	1
Bcl3	Lck	1
Yy1	Pcna	1
Hif1a	Met	1
Foxo1	Angpt2	1
Foxo1	Nos3	-1
Klf2	Dlk1	1
Klf9	Myh10	1
Tp53	Fen1	1
Vdr	Ccnd3	1
Gata1	Timp1	1
Tp53	Stat3	-1
Stat3	Tp53	-1
Cebpb	Dlst	1
Nr1i3	Pkd1	1
Smad7	Mstn	-1
Tp53	Eif4e	-1
Pitx2	Cd81	1
Pitx2	Cd9	1
Cux1	Ccnd2	1
Zbtb38	Calca	1
Zbtb38	Hp	1
Egr3	Gadd45b	1
Snai1	Gadd45b	1
Pax6	Olfm3	1
Tp53	Cdh3	1
Sp1	Snrpn	1
Sp1	Snurf	1
Klf2	Il2	1
Pou2f1	Crp	-1
Atf5	Hnrnpd	1
Foxm1	Cdh1	1
Runx1	Cdh1	1
Sp1	Cdh1	1
Prox1	Qsox1	1
Pax6	Qsox1	1
Qsox1	Pax6	1
Hes1	Mapk1	1
Foxh1	Inhba	1
Ssrp1	Id1	1
Foxo1	Bcl2l11	1
Nr3c1	Slc10a1	1
Jun	Cyp51a1	1
Stat5b	Cish	1
Id2	Col1a2	-1
Id3	Col1a2	-1
Sp1	Ngf	1
Sp1	Sphk1	1
Tp73	Ifng	1
Dnmt1	Cd44	1
Tp73	Tat	1
Dnmt1	Pdgfb	1
Hif1a	Pdgfb	1
Trps1	Runx2	-1
Ar	Mak	1
Esr1	Siah2	1
Ncoa2	Tgfb1i1	1
Yy1	Fas	-1
Esr1	Ppara	-1
Sox6	Ins2	-1
Ets1	Ets1	1
Irf1	Gabra6	1
Irf1	Igbp1	1
Creb1	Gch1	1
Atf2	Gch1	1
Jun	Gch1	1
Smad1	Wnt3a	1
Hey2	Dym	1
Hey2	Myocd	1
Pou4f2	Jup	1
Pou4f2	Cdh1	1
Pou4f1	Jup	1
Foxo4	Ins2	1
Stat5b	Ccnd1	1
Hif1a	Egln1	1
Kcnh4	Pcyt1a	1
Kcnh8	Pcyt1a	1
Foxi2	Slc4a9	1
Smad9	Foxe3	1
Zeb2	Foxe3	1
Ddit3	Asns	-1
Atf5	Asns	1
Sp6	Sp6	1
Wt1	Bak1	1
Gcm1	Crebbp	1
Gcm1	Gcm1	1
Klf2	Map2k5	1
Runx2	Mmp9	1
Znf260	Adra1d	1
Znf260	Nppa	1
Nr0b2	Scarb1	1
Nr1h4	Scarb1	1
Kmt2a	Cdkn1b	1
Tp53	Mst1	1
Yy1	Npm1	-1
Creb1	Pbk	1
Esr1	Ltbp1	1
Pou2f1	Olr1	1
Tp53	Casp2	1
Lef1	Snai2	1
Smad1	Snai2	1
Pparg	Tg	-1
Sp1	Lhx3	1
Stat5a	Nf1	1
Sp1	Cend1	1
E2f1	Pnrc2	-1
Tp63	Igf1r	1
Tp73	Igf1r	1
Msc	Got1	1
Irf3	Litaf	1
Pou2f1	Bcl2	1
Jun	Hes1	-1
Hes1	Jun	1
Ar	Tgfb1	1
Ets1	Pdgfd	1
Sp1	Pdgfd	1
Ahr	Ereg	1
Vdr	Spp1	1
Nr1h4	Slc1a5	1
Tp53	Hp	1
Jun	Ptn	1
Jund	Ptn	1
Gata6	Lmcd1	1
Hey2	Nppa	1
Cebpa	Adh1	1
Cebpb	Adh1	1
Tp73	Afp	1
Hnf1a	Pklr	1
Smad3	Tert	-1
Ewsr1	Nr0b1	1
Nr0b1	Ewsr1	1
Nr0b1	Fli1	1
Fli1	Nr0b1	1
LOC100911668	Ncf2	-1
Gata1	Gstp1	1
Nr1h4	Fgf19	1
Nr0b2	Ppargc1a	-1
Esrra	Ppargc1a	1
Esrrg	Ppargc1a	1
Ar	Pmepa1	1
Myod1	Neu1	1
Pou1f1	Crebbp	1
Nfatc2	Cd4	1
Nfatc4	Esr1	1
Esr1	Nfatc4	1
Irf3	Cish	1
Irf3	Il12a	1
Irf3	Il2rb	1
Nr1i2	App	1
Myf5	Rrad	1
Myod1	Rrad	1
Mtf1	Selenow	1
Mtf1	Csrp1	1
Mtf1	Slc39a10	-1
Nr4a1	Rps6ka1	1
Cebpb	Cat	1
Tp53	Prl	-1
Brca1	Esr1	1
Esr1	Brca1	1
Jun	Brca1	1
Brca1	Fos	1
Fos	Brca1	1
Sp1	Cth	1
Snai1	Cldn1	1
Snai2	Cldn1	-1
Sp1	Bmp6	1
Id2	Lipe	1
Vdr	Apoa1	1
Vsx2	Ces1d	1
Vsx2	Sag	1
Nfatc2	Ifng	1
Nr4a1	Insl3	1
Neurog2	Pax6	-1
Pax6	Neurog2	1
Pax6	Fabp7	1
Vdr	Relb	1
Cdx2	Furin	1
Ppara	Cdkn2a	1
Fosb	Cdk5	1
Vdr	Pthlh	1
Ybx1	Ybx3	1
Ppara	Nr1i2	1
Nfe2l2	Mgst1	1
E2f1	Bcl2l11	1
Tp63	Mgmt	1
Spi1	Elane	1
Runx1	Elane	1
Rest	Syp	-1
Nr1h3	Abcd2	-1
Creb1	Nectin2	1
Fos	Nectin2	1
Jun	Nectin2	1
Nr1h4	Slc51b	1
Hes1	Rest	-1
Ets1	C3ar1	1
Ncoa2	Polr2f	1
Pgr	Oxtr	1
Sp1	Oxtr	1
Ar	Sin3a	1
Nr1h3	Abcg4	1
Nr3c1	Abcg4	1
Jun	Fabp6	1
Hmga1	Il10	1
Egr1	Gapdh	1
Ctbp2	Ctbp1	1
Sp1	Kiss1	1
Elk1	Tagln	-1
Elk1	Mylk	-1
Elk1	Myocd	-1
Myod1	Gabrb3	1
Tcf12	Gabrb3	1
Relb	Ccnd1	1
Relb	Myc	1
Esr1	Syp	1
Rest	Scg2	-1
Esr1	Gjd2	1
Esr1	Bdnf	1
Esr1	Gria2	1
Wt1	Ntrk2	1
Hnf4a	Scp2	1
Jund	Prkcq	1
Ssrp1	Prkcq	1
Tp53	Hspa4	1
Sp1	Grp	1
Esrra	Pck1	-1
Esrra	Cyc1	1
Phf5a	Csf1	1
Pparg	Lipe	1
Sp1	Lipe	1
Creb1	Inha	1
Cebpb	Dym	1
Nr1h4	Pon1	-1
Gata6	Kras	1
Nr3c1	Tdo2	1
Smarca1	Tdo2	1
Spi1	Trim63	1
Sp1	Krt14	-1
Tbx21	Il2	-1
Msc	Ptprc	1
Ybx1	Jak1	1
Tp53	Htt	1
Hand2	Hand1	1
Phox2a	Gata2	1
Phox2a	Hand1	1
Epas1	Epo	1
Ssrp1	Tnfsf11	1
Sp1	Casp8	1
Egr1	Arc	1
Egr3	Arc	1
Sp1	Fosl1	1
Esr1	Lmo4	1
Lmo4	Esr1	1
Lmo4	Mta1	1
Mta1	Lmo4	1
Id1	Inhba	1
Id2	Inhba	1
Id3	Inhba	1
Ppara	Nphs1	1
Stat5a	Jak3	1
Stat5a	Cyp2b2	1
Cux1	Abl1	1
Ppara	Ugdh	-1
Nr2c2	Il2	1
Stat3	Pnp	1
Tp53	Ogg1	1
Ets1	Epor	-1
Ets1	Gata1	1
Ets1	Gata2	1
Hnf1b	Ace2	1
Hnf1b	Dpp4	1
Creb1	Scarb1	1
Mybl2	E2f1	-1
E2f1	Mybl2	1
Atf5	Ccnd3	1
Pou2f1	Glb1	1
Creb1	Ccnd2	-1
Hic1	Hic1	1
Nr3c1	Fn1	1
Junb	Src	1
Sp1	Serpinb5	1
Ar	Serpinb5	-1
Srebf1	Cyp17a1	1
Stat5b	Lep	1
Stat3	Ins2	1
Kcnip3	Slc8a3	-1
Hnf4a	Cdx4	1
Fli1	Hmox1	1
Vdr	Ngf	1
Esrra	Nr0b1	1
Esrrg	Nr0b1	1
Nr0b1	Esrrg	-1
Hoxd13	Epha7	1
Runx1	Polr2f	1
Runx1	Skp1	1
Esrra	Pdk4	1
Srf	Serpine1	-1
Foxm1	Cdkn2a	-1
Gtf2i	Ccnd1	1
Ssrp1	Myh14	1
Myc	Clic4	1
Nkx3-1	Clic4	1
Myc	Bcl2	1
Myc	Bcl2l1	-1
Ar	Ptgs2	-1
Mef2a	Slc6a6	1
Myod1	Slc6a6	1
Smad2	Col1a2	1
Spi1	Alox15	1
Pou1f1	Vdr	1
Vdr	Pou1f1	1
Dnmt3a	Smarca4	1
Id1	Tnfsf11	1
Id2	Tnfsf11	1
Hnf4a	Gcg	1
Tp63	Krt14	1
E2f1	Mcm8	1
Ebf2	Tnfrsf11b	1
Hnf4a	Tnfrsf11b	1
Lef1	Tnfrsf11b	1
Dbp	Esr1	1
Nr0b2	Timp2	1
Dlx4	Ctbp1	1
Ctcf	Tert	-1
Jun	Tgfb1	1
Gli1	Dkk2	1
Gli1	Dkk3	1
Gli1	Dkk4	1
Gli1	Frzb	1
Gli1	Sfrp1	1
Hoxd3	Gabrb3	1
Dnmt1	Mcat	1
Smad4	Hamp	1
Rest	Nrp1	-1
Spi1	Cdkn2a	1
Tp63	Tp63	1
Foxa1	Brca1	1
Foxa1	Cdkn1b	1
Ctcf	Dlk1	1
Cebpb	Col1a2	1
Kat7	App	1
Kat5	Lepr	1
Meox2	Rnf10	1
Srebf2	Acot7	1
Jun	Bdnf	1
Pparg	Mapk1	1
Runx1	Ada	1
Nfe2l2	Vcam1	-1
Nfe2l2	Mapk14	1
Tp63	Wnt4	1
Tp73	Wnt4	1
Tp53	Wnt4	1
Maf	Ccn2	1
Sp1	Tarbp2	1
Tfap4	Tarbp2	1
Ar	Carm1	1
Hnf4a	Carm1	1
Hnf4a	Crebbp	1
Egr1	Mip	1
Nr4a1	Ppm1d	1
Esr1	Ppm1d	1
Cebpb	Spi1	1
Pou2f1	Spi1	1
Prdm2	Myc	-1
Ar	Park7	1
Ar	Th	1
Ctbp2	Cdh1	-1
Nr1h4	Slc51a	1
Nr5a2	Slc51a	1
Nr5a2	Slc51b	1
Nr0b2	Slc51a	-1
Nr0b2	Slc51b	-1
Spdef	Csf1r	1
Spdef	Erbb2	1
Spdef	Spdef	1
Snai1	Gsk3b	1
Nr1h4	Edn1	-1
Tp53	Ddb1	1
Tp53	Cpd	1
Myf6	Scn8a	1
Myog	Musk	1
Hr	Musk	1
Egr1	Alox5	1
Sp1	Alox5	1
Myc	Mapk14	1
Spi1	Ctss	1
Pax2	Wnt4	1
Nr1h3	Scd1	1
Srebf1	Scd1	1
Mitf	Pias3	1
Runx1	Ier3	1
Runx1	Tpo	1
Dnmt3a	Ascl1	1
Dnmt3a	Ehmt2	1
Ezh2	Ascl1	1
Ascl1	Ezh2	1
Egr2	Igf1	1
Jun	Il5	1
Ar	Smarca1	1
Sp1	Abcc6	1
Ar	Adm	1
Creb1	Ifna1	1
Irf7	Ifna1	1
Znf148	Iapp	1
Srebf2	Casp2	1
Hnf4a	F13b	1
Myc	Gabra6	1
Zbtb17	Gabra6	1
Zeb2	Mmp2	1
Egr1	Cd40lg	1
Egr3	Cd40lg	1
Id3	Id3	1
Tlx3	Fbn1	1
Tlx3	Map2k5	1
Tlx3	Tnfaip8	1
Sp1	Epas1	1
Hnf4a	Apoa2	1
Nr2f2	Apoa2	1
Nr2f2	Apob	1
Nr2f6	Apoa2	1
Nr2f6	Apob	1
Nr4a1	Apoa2	1
Pitx2	Apoa2	1
Pitx2	Apob	1
Hif1a	Egf	1
Hif1a	Fgf2	1
E2f1	Pole3	1
Myc	Pole3	1
Sp1	Gipr	1
Pparg	Bace1	-1
Cebpa	Gstp1	-1
Srebf1	Pcsk9	1
Kat7	Igfbp7	1
Ybx3	Hspa4	1
Atf2	Tgfbr2	1
Sp7	Tnf	1
Sp1	Ahr	-1
Foxa2	Reg3g	1
Tp63	Ada	1
Sox10	Ednrb	1
Tbpl2	Afm	1
Tp73	Tp63	1
Tp63	Tp73	1
Smad3	Cilp	1
Irf1	Cd274	1
Nr1h3	Npc1l1	1
Ppara	Npc1l1	1
Jun	Krt15	1
Isl1	Prickle1	1
Atf2	Pten	1
Sp1	Nos2	1
Sp1	Nasp	1
Zglp1	Glp1r	1
Ncoa2	Serpine1	1
LOC100911668	Cdh1	1
LOC100911668	Epcam	1
Nfe2l2	Abcc2	1
Ctcf	Arsi	1
Nfe2l2	Ephx1	1
Stat3	Ptpn2	1
Tp53	Flt1	1
